username,score
ManifoldTrading,1
PaulyPaul_eth,1
DefiSquared,1
CirrusNFT,1
DistilledCrypto,1
NorthRockLP,1
OnChainDynamics,1
0xc06,1
0xWangarian,1
galaxyBTC,1
favoNow,1
appuruxbt,1
CarissaNurani,1
a_chang888,1
RacerLoans,1
0xAikoDai,0.875
dydx_operator,0.875
RyanWatkins_,0.875
gregisenberg,0.875
Cooopahtroopa,0.875
AntonioMJuliano,0.875
WuBlockchain,0.857142857
RaAr3s,0.85
CryptoKoryo,0.833333333
RPC_20,0.833333333
Ricecooker38,0.833333333
matthuang,0.833333333
caprioleio,0.8125
zachxbt,0.8125
DefiIgnas,0.8
0xstr820,0.75
WatanabeSota,0.75
FEhrsam,0.75
vfat0,0.75
criterion_eth,0.75
SmallCapScience,0.75
6529Guardian,0.75
bizyugo,0.75
pokerbrat2019,0.75
EdKrassen,0.75
SatoshiLite,0.75
benkoeth,0.75
rleshner,0.75
MrNeverPullsOut,0.75
mevcollector,0.75
0xDith,0.75
0xElyy,0.75
fyhfyhio,0.75
Luke6832eth,0.75
jacko_eth,0.75
CharlieShrem,0.75
itsALLhalvening,0.75
hoss_crypto,0.75
MarioNawfal,0.75
JonAguiar,0.75
ChillTRD,0.75
alpha_pls,0.708333333
mrjasonchoi,0.6875
PhoenixTrades_,0.6875
yourfriendSOMMI,0.666666667
arjunblj,0.666666667
ChadCaff,0.666666667
johnweth_,0.666666667
0xPrismatic,0.666666667
0xRodo,0.666666667
danrobinson,0.666666667
0xCygaar,0.642857143
DaanCrypto,0.642857143
DefiantNews,0.642857143
HtrZac,0.625
TaikiMaeda2,0.625
zjbrenner,0.625
mdudas,0.625
Crypto_McKenna,0.625
liangfenxiaodao,0.625
4_What4,0.625
BarbiecueDGG,0.625
krassenstein,0.625
tztokchad,0.625
CharlotteFang77,0.625
0xUnihax0r,0.625
chen96891687,0.625
ThorHartvigsen,0.625
elwhale,0.625
Ashcryptoreal,0.607142857
sleepdiplomat,0.6
ChainLinkGod,0.583333333
hosseeb,0.583333333
FatManTerra,0.583333333
Hatchy_Eth,0.583333333
izsu_z,0.583333333
AndrewParkerso5,0.583333333
nftwhalealert,0.583333333
V2Chenz,0.571428571
sassal0x,0.571428571
spencernoon,0.571428571
danielpsegundo,0.5625
beaniemaxi,0.55
VirtualBacon0x,0.55
WClementeIII,0.541666667
52kskew,0.535714286
fridgeintheopen,0.5
friendfarm_,0.5
KieranWarwick,0.5
freedl212,0.5
fozziewrites_,0.5
kv4rl,0.5
saliencexbt,0.5
PuggyTrades,0.5
CryptoKaduna,0.5
Own_Your_Flag,0.5
Mystic_Ether,0.5
mattkalish,0.5
max_bronstein,0.5
JoshSinghCap,0.5
John0xer,0.5
RHnKHhhb,0.5
RektProof,0.5
verymuchpeng,0.5
Crypt0_Andrew,0.5
LomahCrypto,0.5
fusionistio,0.5
BobLoukas,0.5
impossiblefi,0.5
inmortalcrypto,0.5
hufhaus9,0.5
CC2Ventures,0.5
MapleLeafCap,0.5
0x6851,0.5
MastaMeeseeks,0.5
yumipeixuan,0.5
MikeIsaac,0.5
0xBender,0.5
xoshiLads,0.5
ChicoCrypto,0.5
jkrdoc,0.5
Momentum_6,0.5
Bitcoin_Sage,0.5
0xBryannnn,0.5
gingabtw,0.5
RoofHanzo,0.5
kevinrose,0.5
xponentcrisis,0.5
dtv0511,0.5
defi_mochi,0.5
calchulus,0.5
pwnlord69,0.5
charleswayn,0.5
TrungTranNft,0.5
sairahcaz22,0.5
patty_fi,0.5
0xari420,0.5
pllexity,0.5
stevenyuntcap,0.5
ErikVoorhees,0.5
H1T3CH,0.5
scottmelker,0.5
0xxianyu,0.5
Fitchinverse,0.5
_FabianHD,0.5
samkazemian,0.5
FrenBond,0.5
0xlxy,0.5
owen1v9,0.5
imlethanh98,0.5
okx,0.5
0xShiesty,0.5
ToTheDemon,0.5
myanTokenGeek,0.5
Degentraland,0.5
AmirOrmu,0.5
uncleogac,0.5
TardFiWhale,0.5
tummyy1,0.5
crypto_hunterW3,0.5
0xShual,0.5
StaniKulechov,0.5
Dynamo_Patrick,0.472222222
ASvanevik,0.472222222
ki_young_ju,0.46875
LordDurden,0.46875
sweatystartup,0.464285714
Web3Capital,0.464285714
Loopifyyy,0.458333333
VentureCoinist,0.458333333
AlexanderGrieve,0.458333333
MacroCRG,0.454545455
JackAdams66,0.45
CmdrKJB,0.45
CredibleCrypto,0.45
Overdose_AI,0.45
MariusCrypt0,0.45
GrantlandOG,0.45
jerallaire,0.45
DeFi_Dad,0.4375
SpartanBlack_1,0.4375
Gold_Cryptoz,0.4375
crypto_condom,0.4375
ElonTrades,0.4375
Cryptoking,0.4375
admen_vc_2,0.4375
wangfeng_0128,0.4375
0xBreadguy,0.4375
punk3700,0.4375
resdegen,0.4375
chiefingza,0.428571429
rektmando,0.428571429
waleswoosh,0.428571429
Galxe,0.416666667
gemmilldaniel,0.416666667
TheNFTAsian,0.416666667
kimyg002,0.416666667
sen_eth,0.416666667
CroissantEth,0.416666667
0xjaypeg,0.416666667
ryandcrypto,0.416666667
YanLiberman,0.416666667
ZeMariaMacedo,0.416666667
coocolab,0.416666667
FrankieIsLost,0.416666667
Gogogonum,0.416666667
0xBriann,0.416666667
0xHannry,0.416666667
wassielawyer,0.416666667
KashKysh,0.416666667
Phoenix_XCG,0.416666667
Eug_Ng,0.40625
ljin18,0.4
Nick_Prince12,0.4
